region_id,region_name,parent_region_id,parent_region_name,depth,is_leaf,child_count,shortname,species,rgb
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG4_MFG_LEFT,Area MFG4 (MFG) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG4_MFG,Area MFG4 (MFG),6,True,0,,Homo sapiens,"(128, 120, 0)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG1_MFG,Area MFG1 (MFG),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_MIDDLE_FRONTAL_GYRUS,middle frontal gyrus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG1_MFG_RIGHT,Area MFG1 (MFG) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG1_MFG,Area MFG1 (MFG),6,True,0,,Homo sapiens,"(97, 32, 129)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG1_MFG_LEFT,Area MFG1 (MFG) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG1_MFG,Area MFG1 (MFG),6,True,0,,Homo sapiens,"(97, 32, 129)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUPERIOR_FRONTAL_SULCUS,superior frontal sulcus,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_LOBE,frontal lobe,4,False,4,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFS2_SFS,Area SFS2 (SFS),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUPERIOR_FRONTAL_SULCUS,superior frontal sulcus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFS2_SFS_RIGHT,Area SFS2 (SFS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFS2_SFS,Area SFS2 (SFS),6,True,0,,Homo sapiens,"(241, 147, 0)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFS2_SFS_LEFT,Area SFS2 (SFS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFS2_SFS,Area SFS2 (SFS),6,True,0,,Homo sapiens,"(241, 147, 0)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D3_SFS,Area 6d3 (SFS),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUPERIOR_FRONTAL_SULCUS,superior frontal sulcus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D3_SFS_RIGHT,Area 6d3 (SFS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D3_SFS,Area 6d3 (SFS),6,True,0,,Homo sapiens,"(238, 236, 27)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D3_SFS_LEFT,Area 6d3 (SFS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D3_SFS,Area 6d3 (SFS),6,True,0,,Homo sapiens,"(238, 236, 27)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFS1_SFS,Area SFS1 (SFS),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUPERIOR_FRONTAL_SULCUS,superior frontal sulcus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFS1_SFS_RIGHT,Area SFS1 (SFS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFS1_SFS,Area SFS1 (SFS),6,True,0,,Homo sapiens,"(0, 164, 225)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFS1_SFS_LEFT,Area SFS1 (SFS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFS1_SFS,Area SFS1 (SFS),6,True,0,,Homo sapiens,"(0, 164, 225)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFG3_SFG,Area SFG3 (SFG),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SUPERIOR_FRONTAL_SULCUS,superior frontal sulcus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFG3_SFG_RIGHT,Area SFG3 (SFG) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFG3_SFG,Area SFG3 (SFG),6,True,0,,Homo sapiens,"(118, 0, 128)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFG3_SFG_LEFT,Area SFG3 (SFG) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFG3_SFG,Area SFG3 (SFG),6,True,0,,Homo sapiens,"(118, 0, 128)"
