fine_region_id,hemisphere,gm_mass,raw_proposed_containment,gm_weighted_proposed_containment,raw_proposed_rank,gm_weighted_rank,raw_best_competitor,gm_best_non_proposed_id,gm_best_non_proposed_score,gm_margin,gm_inside_full_dk_fraction,gm_outside_full_dk_fraction
NGIQ-BR-00000156,right,2252.79,0.25292,0.24509,1,1,NGIQ-BR-00000326,NGIQ-BR-00000326,0.01766,0.22743,0.26922,0.73078
NGIQ-BR-00000158,right,3229.73,0.28242,0.31341,1,1,NGIQ-BR-00000326,NGIQ-BR-00000326,0.01615,0.29725,0.30108,0.69892
NGIQ-BR-00000160,right,5932.46,0.32428,0.30823,1,1,NGIQ-BR-00000302,NGIQ-BR-00000307,0.01724,0.29099,0.36893,0.63107
NGIQ-BR-00000162,right,5246.96,0.304,0.28725,1,1,NGIQ-BR-00000307,NGIQ-BR-00000307,0.00603,0.28123,0.31109,0.68891
NGIQ-BR-00000164,right,4307.21,0.29964,0.32887,1,1,NGIQ-BR-00000321,NGIQ-BR-00000321,0.04585,0.28302,0.34112,0.65888
NGIQ-BR-00000166,right,3587.18,0.38592,0.45002,1,1,NGIQ-BR-00000328,NGIQ-BR-00000328,0.04245,0.40756,0.43875,0.56125
NGIQ-BR-00000168,right,3720.72,0.32079,0.35665,1,1,NGIQ-BR-00000326,NGIQ-BR-00000326,0.00626,0.3504,0.32889,0.67111
NGIQ-BR-00000170,right,1677.34,0.29563,0.37466,1,1,NGIQ-BR-00000321,NGIQ-BR-00000321,0.02648,0.34818,0.31911,0.68089
NGIQ-BR-00000172,right,1413.19,0.63448,0.72631,1,1,NGIQ-BR-00000309,NGIQ-BR-00000309,0.04147,0.68484,0.66929,0.33071
NGIQ-BR-00000174,right,1580.29,0.62299,0.67393,1,1,NGIQ-BR-00000315,NGIQ-BR-00000315,0.00423,0.6697,0.63212,0.36788
NGIQ-BR-00000176,right,1846.17,0.59933,0.68669,1,1,NGIQ-BR-00000327,NGIQ-BR-00000327,0.03849,0.64821,0.63404,0.36596
NGIQ-BR-00000178,right,1867.36,0.59398,0.64052,1,1,NGIQ-BR-00000319,NGIQ-BR-00000319,0.01929,0.62123,0.61345,0.38655
NGIQ-BR-00000180,right,2155.72,0.54835,0.57713,1,1,NGIQ-BR-00000321,NGIQ-BR-00000321,0.01323,0.5639,0.57204,0.42796
NGIQ-BR-00000188,right,1943.32,0.4184,0.46246,1,1,NGIQ-BR-00000320,NGIQ-BR-00000320,0.02676,0.4357,0.46528,0.53472
NGIQ-BR-00000192,right,3560.09,0.34679,0.34943,1,1,NGIQ-BR-00000322,NGIQ-BR-00000322,0.00898,0.34045,0.36229,0.63771
NGIQ-BR-00000194,right,2586.11,0.31608,0.3463,1,1,NGIQ-BR-00000300,NGIQ-BR-00000300,0.01899,0.32731,0.33226,0.66774
NGIQ-BR-00000200,right,5147.63,0.29725,0.29728,1,1,NGIQ-BR-00000304,NGIQ-BR-00000304,0.01469,0.28259,0.31974,0.68026
NGIQ-BR-00000204,right,3764.71,0.19137,0.17682,1,1,NGIQ-BR-00000305,NGIQ-BR-00000305,0.02036,0.15645,0.21625,0.78375
NGIQ-BR-00000206,right,4408.81,0.21319,0.24391,1,1,NGIQ-BR-00000305,NGIQ-BR-00000305,0.02071,0.2232,0.25125,0.74875
NGIQ-BR-00000208,right,3380.29,0.23088,0.25765,1,1,NGIQ-BR-00000318,NGIQ-BR-00000318,0.01462,0.24303,0.24348,0.75652
NGIQ-BR-00000210,right,3902.94,0.23376,0.28279,1,1,NGIQ-BR-00000310,NGIQ-BR-00000304,0.00664,0.27615,0.24459,0.75541
