hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,seed_type,cohort,current_authority_decision,g3_vertex_count,dk_label_name,dk_label_id,dk_vertex_count,intersection_vertex_count,source_coverage_ratio,target_coverage_ratio,g1_entity_id,g1_name_en,g1_alignment_status,is_no_g1_target
left,NGIQ-BR-00000075,59,PrG_L_6_4,area 4(trunk region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,847,precentral,24,0,720,0.850059,0,NGIQ-BR-00000290,Left Precentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000075,59,PrG_L_6_4,area 4(trunk region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,847,superiorfrontal,28,0,126,0.14876,0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000077,61,PrG_L_6_5,area 4(tongue and larynx region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1432,parsopercularis,18,0,40,0.027933,0,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",ALIGNED,false
left,NGIQ-BR-00000077,61,PrG_L_6_5,area 4(tongue and larynx region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1432,postcentral,22,0,44,0.030726,0,NGIQ-BR-00000288,Left Postcentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000077,61,PrG_L_6_5,area 4(tongue and larynx region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1432,precentral,24,0,1306,0.912011,0,NGIQ-BR-00000290,Left Precentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000077,61,PrG_L_6_5,area 4(tongue and larynx region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1432,insula,35,0,42,0.02933,0,NGIQ-BR-00000299,Left Insula,ALIGNED,false
left,NGIQ-BR-00000079,63,PrG_L_6_6,caudal ventrolateral area 6,PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1794,caudalmiddlefrontal,3,0,64,0.035674,0,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000079,63,PrG_L_6_6,caudal ventrolateral area 6,PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1794,parsopercularis,18,0,69,0.038462,0,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis",ALIGNED,false
left,NGIQ-BR-00000079,63,PrG_L_6_6,caudal ventrolateral area 6,PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1794,precentral,24,0,1661,0.925864,0,NGIQ-BR-00000290,Left Precentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000081,65,PCL_L_2_1,area 1/2/3 (lower limb region),PCL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1398,paracentral,17,0,1293,0.924893,0,NGIQ-BR-00000283,Left Paracentral Lobule,ALIGNED,false
left,NGIQ-BR-00000081,65,PCL_L_2_1,area 1/2/3 (lower limb region),PCL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1398,postcentral,22,0,6,0.004292,0,NGIQ-BR-00000288,Left Postcentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000081,65,PCL_L_2_1,area 1/2/3 (lower limb region),PCL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1398,precentral,24,0,81,0.05794,0,NGIQ-BR-00000290,Left Precentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000081,65,PCL_L_2_1,area 1/2/3 (lower limb region),PCL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1398,precuneus,25,0,18,0.012876,0,NGIQ-BR-00000291,Left Precuneus,ALIGNED,false
left,NGIQ-BR-00000083,67,PCL_L_2_2,"area 4, (lower limb region)",PCL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1361,paracentral,17,0,1324,0.972814,0,NGIQ-BR-00000283,Left Paracentral Lobule,ALIGNED,false
left,NGIQ-BR-00000083,67,PCL_L_2_2,"area 4, (lower limb region)",PCL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1361,precentral,24,0,22,0.016165,0,NGIQ-BR-00000290,Left Precentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000083,67,PCL_L_2_2,"area 4, (lower limb region)",PCL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1361,superiorfrontal,28,0,15,0.011021,0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000005,69,STG_L_6_1,medial area 38,STG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1092,entorhinal,6,0,59,0.054029,0,NGIQ-BR-00000272,Left Entorhinal Cortex,ALIGNED,false
left,NGIQ-BR-00000005,69,STG_L_6_1,medial area 38,STG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1092,inferiortemporal,9,0,14,0.012821,0,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,ALIGNED,false
left,NGIQ-BR-00000005,69,STG_L_6_1,medial area 38,STG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1092,middletemporal,15,0,9,0.008242,0,NGIQ-BR-00000281,Left Middle Temporal Gyrus,ALIGNED,false
