pair_id,left_g3_entity_id,right_g3_entity_id,seed_mask_code,cohort,left_top1_g1,right_top1_g1,left_top1_cov,right_top1_cov,left_top1_dk,right_top1_dk,consistency_status
PhG_6_1,NGIQ-BR-00000121,NGIQ-BR-00000122,PhG,COMPOSITE_SEED_PENDING,Entorhinal Cortex,Entorhinal Cortex,0.974747,0.903571,entorhinal,entorhinal,SAME_TOP1_TARGET
PhG_6_2,NGIQ-BR-00000123,NGIQ-BR-00000124,PhG,COMPOSITE_SEED_PENDING,Parahippocampal Gyrus,Parahippocampal Gyrus,0.928191,0.951482,parahippocampal,parahippocampal,SAME_TOP1_TARGET
PhG_6_3,NGIQ-BR-00000125,NGIQ-BR-00000126,PhG,COMPOSITE_SEED_PENDING,Parahippocampal Gyrus,Parahippocampal Gyrus,0.979133,0.836466,parahippocampal,parahippocampal,ASYMMETRIC_COVERAGE
PhG_6_4,NGIQ-BR-00000127,NGIQ-BR-00000128,PhG,COMPOSITE_SEED_PENDING,Entorhinal Cortex,Entorhinal Cortex,0.607046,0.693798,entorhinal,entorhinal,SAME_TOP1_TARGET
PhG_6_5,NGIQ-BR-00000129,NGIQ-BR-00000130,PhG,COMPOSITE_SEED_PENDING,Entorhinal Cortex,Entorhinal Cortex,0.833333,0.977654,entorhinal,entorhinal,ASYMMETRIC_COVERAGE
PhG_6_6,NGIQ-BR-00000131,NGIQ-BR-00000132,PhG,COMPOSITE_SEED_PENDING,Parahippocampal Gyrus,Parahippocampal Gyrus,0.896471,0.995833,parahippocampal,parahippocampal,SAME_TOP1_TARGET
pSTS_2_1,NGIQ-BR-00000133,NGIQ-BR-00000134,Psts,SEED_TARGET_NOT_IN_G1,Middle Temporal Gyrus,Middle Temporal Gyrus,0.026728,0.036585,bankssts,bankssts,SAME_TOP1_TARGET
pSTS_2_2,NGIQ-BR-00000135,NGIQ-BR-00000136,Psts,SEED_TARGET_NOT_IN_G1,Inferior Parietal Lobule,Supramarginal Gyrus,0.066318,0.047441,bankssts,bankssts,DIFFERENT_TOP1_TARGET
SPL_5_1,NGIQ-BR-00000009,NGIQ-BR-00000010,SPL,SINGLE_SEED_CONTROL,Superior Parietal Lobule,Superior Parietal Lobule,1.0,1.0,superiorparietal,superiorparietal,SAME_TOP1_TARGET
SPL_5_2,NGIQ-BR-00000137,NGIQ-BR-00000138,SPL,SINGLE_SEED_CONTROL,Superior Parietal Lobule,Superior Parietal Lobule,0.950941,1.0,superiorparietal,superiorparietal,SAME_TOP1_TARGET
