source_g4,target_count,candidate_targets,final_targets,target_set_match,per_target_coverage_match,duplicate_target_count,missing_target_count,extra_target_count,partial_review_result
NGIQ-BR-00000446,2,NGIQ-BR-00000079;NGIQ-BR-00000035,NGIQ-BR-00000079;NGIQ-BR-00000035,True,True,0,0,0,PASS
NGIQ-BR-00000447,3,NGIQ-BR-00000080;NGIQ-BR-00000078;NGIQ-BR-00000056,NGIQ-BR-00000080;NGIQ-BR-00000078;NGIQ-BR-00000056,True,True,0,0,0,PASS
NGIQ-BR-00000448,3,NGIQ-BR-00000079;NGIQ-BR-00000055;NGIQ-BR-00000077,NGIQ-BR-00000079;NGIQ-BR-00000055;NGIQ-BR-00000077,True,True,0,0,0,PASS
NGIQ-BR-00000449,2,NGIQ-BR-00000072;NGIQ-BR-00000044,NGIQ-BR-00000072;NGIQ-BR-00000044,True,True,0,0,0,PASS
NGIQ-BR-00000450,2,NGIQ-BR-00000043;NGIQ-BR-00000071,NGIQ-BR-00000043;NGIQ-BR-00000071,True,True,0,0,0,PASS
NGIQ-BR-00000453,3,NGIQ-BR-00000072;NGIQ-BR-00000028;NGIQ-BR-00000076,NGIQ-BR-00000072;NGIQ-BR-00000028;NGIQ-BR-00000076,True,True,0,0,0,PASS
NGIQ-BR-00000456,2,NGIQ-BR-00000001;NGIQ-BR-00000027,NGIQ-BR-00000001;NGIQ-BR-00000027,True,True,0,0,0,PASS
NGIQ-BR-00000457,2,NGIQ-BR-00000046;NGIQ-BR-00000064,NGIQ-BR-00000046;NGIQ-BR-00000064,True,True,0,0,0,PASS
NGIQ-BR-00000458,2,NGIQ-BR-00000045;NGIQ-BR-00000031,NGIQ-BR-00000045;NGIQ-BR-00000031,True,True,0,0,0,PASS
NGIQ-BR-00000459,3,NGIQ-BR-00000032;NGIQ-BR-00000058;NGIQ-BR-00000064,NGIQ-BR-00000032;NGIQ-BR-00000058;NGIQ-BR-00000064,True,True,0,0,0,PASS
NGIQ-BR-00000463,3,NGIQ-BR-00000066;NGIQ-BR-00000064;NGIQ-BR-00000062,NGIQ-BR-00000066;NGIQ-BR-00000064;NGIQ-BR-00000062,True,True,0,0,0,PASS
NGIQ-BR-00000469,3,NGIQ-BR-00000074;NGIQ-BR-00000164;NGIQ-BR-00000070,NGIQ-BR-00000074;NGIQ-BR-00000164;NGIQ-BR-00000070,True,True,0,0,0,PASS
NGIQ-BR-00000470,3,NGIQ-BR-00000069;NGIQ-BR-00000073;NGIQ-BR-00000163,NGIQ-BR-00000069;NGIQ-BR-00000073;NGIQ-BR-00000163,True,True,0,0,0,PASS
NGIQ-BR-00000476,2,NGIQ-BR-00000077;NGIQ-BR-00000055,NGIQ-BR-00000077;NGIQ-BR-00000055,True,True,0,0,0,PASS
NGIQ-BR-00000477,2,NGIQ-BR-00000078;NGIQ-BR-00000166,NGIQ-BR-00000078;NGIQ-BR-00000166,True,True,0,0,0,PASS
NGIQ-BR-00000478,2,NGIQ-BR-00000077;NGIQ-BR-00000165,NGIQ-BR-00000077;NGIQ-BR-00000165,True,True,0,0,0,PASS
NGIQ-BR-00000482,3,NGIQ-BR-00000053;NGIQ-BR-00000051;NGIQ-BR-00000049,NGIQ-BR-00000053;NGIQ-BR-00000051;NGIQ-BR-00000049,True,True,0,0,0,PASS
NGIQ-BR-00000486,3,NGIQ-BR-00000003;NGIQ-BR-00000035;NGIQ-BR-00000047,NGIQ-BR-00000003;NGIQ-BR-00000035;NGIQ-BR-00000047,True,True,0,0,0,PASS
NGIQ-BR-00000487,3,NGIQ-BR-00000004;NGIQ-BR-00000040;NGIQ-BR-00000042,NGIQ-BR-00000004;NGIQ-BR-00000040;NGIQ-BR-00000042,True,True,0,0,0,PASS
NGIQ-BR-00000490,3,NGIQ-BR-00000039;NGIQ-BR-00000047;NGIQ-BR-00000035,NGIQ-BR-00000039;NGIQ-BR-00000047;NGIQ-BR-00000035,True,True,0,0,0,PASS
NGIQ-BR-00000492,3,NGIQ-BR-00000035;NGIQ-BR-00000079;NGIQ-BR-00000003,NGIQ-BR-00000035;NGIQ-BR-00000079;NGIQ-BR-00000003,True,True,0,0,0,PASS
NGIQ-BR-00000495,2,NGIQ-BR-00000004;NGIQ-BR-00000036,NGIQ-BR-00000004;NGIQ-BR-00000036,True,True,0,0,0,PASS
NGIQ-BR-00000496,2,NGIQ-BR-00000035;NGIQ-BR-00000003,NGIQ-BR-00000035;NGIQ-BR-00000003,True,True,0,0,0,PASS
NGIQ-BR-00000499,2,NGIQ-BR-00000056;NGIQ-BR-00000050,NGIQ-BR-00000056;NGIQ-BR-00000050,True,True,0,0,0,PASS
NGIQ-BR-00000502,3,NGIQ-BR-00000047;NGIQ-BR-00000049;NGIQ-BR-00000039,NGIQ-BR-00000047;NGIQ-BR-00000049;NGIQ-BR-00000039,True,True,0,0,0,PASS
NGIQ-BR-00000503,2,NGIQ-BR-00000042;NGIQ-BR-00000034,NGIQ-BR-00000042;NGIQ-BR-00000034,True,True,0,0,0,PASS
NGIQ-BR-00000505,4,NGIQ-BR-00000042;NGIQ-BR-00000034;NGIQ-BR-00000022;NGIQ-BR-00000044,NGIQ-BR-00000042;NGIQ-BR-00000034;NGIQ-BR-00000022;NGIQ-BR-00000044,True,True,0,0,0,PASS
