canonical_g4_id,canonical_g4_name,hemisphere,relation,target_g3_id,source_reason,future_rollup_eligible,policy_version
NGIQ-BR-00000430,Area hIP7 (IPS) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000213,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000431,Area hIP3 (IPS) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000140,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000431,Area hIP3 (IPS) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000144,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000431,Area hIP3 (IPS) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000148,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000432,Area hIP3 (IPS) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000139,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000432,Area hIP3 (IPS) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000143,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000433,Area hIP2 (IPS) right,right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000148,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000434,Area hIP2 (IPS) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000147,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000435,Area hIP4 (IPS) right,right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000012,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000436,Area hIP4 (IPS) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000011,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000437,Area hIP5 (IPS) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000146,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000437,Area hIP5 (IPS) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000214,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000438,Area hIP5 (IPS) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000213,OWNER_CONFIRMED_PARTIAL_SET_CONCORDANT,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
