canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,relation,target_g3_id,target_coverage,source_pp_top1_g4_weighted,source_hard_total_bna_coverage,source_bna_uncovered_fraction,decision_reason_code,future_rollup_eligible,future_primary_rollup,decision_policy_version,preliminary_relation_status
NGIQ-BR-00000470,Area 4p (PreCG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4P_PRECG,PARTIAL_OVERLAP,NGIQ-BR-00000073,0.300147,0.35652833,0.85173968,0.14826032,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000470,Area 4p (PreCG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4P_PRECG,PARTIAL_OVERLAP,NGIQ-BR-00000163,0.154013,0.35652833,0.85173968,0.14826032,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000469,Area 4p (PreCG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4P_PRECG,PARTIAL_OVERLAP,NGIQ-BR-00000070,0.173394,0.39593493,0.82538008,0.17461992,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000469,Area 4p (PreCG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4P_PRECG,PARTIAL_OVERLAP,NGIQ-BR-00000074,0.424596,0.39593493,0.82538008,0.17461992,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000469,Area 4p (PreCG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_4P_PRECG,PARTIAL_OVERLAP,NGIQ-BR-00000164,0.22331,0.39593493,0.82538008,0.17461992,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000391,Area 5Ci (SPL) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL,PARTIAL_OVERLAP,NGIQ-BR-00000082,0.482898,0.50061938,0.89837548,0.10162452,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000391,Area 5Ci (SPL) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL,PARTIAL_OVERLAP,NGIQ-BR-00000158,0.150913,0.50061938,0.89837548,0.10162452,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000391,Area 5Ci (SPL) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL,PARTIAL_OVERLAP,NGIQ-BR-00000192,0.255178,0.50061938,0.89837548,0.10162452,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000381,Area 5L (SPL) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL,PARTIAL_OVERLAP,NGIQ-BR-00000142,0.46452,0.37349612,0.86248924,0.13751076,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000381,Area 5L (SPL) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL,PARTIAL_OVERLAP,NGIQ-BR-00000158,0.216613,0.37349612,0.86248924,0.13751076,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000388,Area 5M (SPL) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL,PARTIAL_OVERLAP,NGIQ-BR-00000081,0.377353,0.46007256,0.90610367,0.09389633,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000388,Area 5M (SPL) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL,PARTIAL_OVERLAP,NGIQ-BR-00000157,0.307758,0.46007256,0.90610367,0.09389633,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000451,Area 6d2 (PreCG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D2_PRECG,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000026,0.595766,0.41150728,0.85282366,0.14717634,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000456,"Area 6ma (preSMA, mesial SFG) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MA_PRESMA_MESIAL_SFG,PARTIAL_OVERLAP,NGIQ-BR-00000001,0.519237,0.45909,0.91032331,0.08967669,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000456,"Area 6ma (preSMA, mesial SFG) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MA_PRESMA_MESIAL_SFG,PARTIAL_OVERLAP,NGIQ-BR-00000027,0.388456,0.45909,0.91032331,0.08967669,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000455,"Area 6ma (preSMA, mesial SFG) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MA_PRESMA_MESIAL_SFG,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000002,0.542561,0.46408302,0.88807468,0.11192532,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000462,"Area 6mp (SMA, mesial SFG) left",left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MP_SMA_MESIAL_SFG,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000027,0.763391,0.74409859,0.90779036,0.09220964,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000461,"Area 6mp (SMA, mesial SFG) right",right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MP_SMA_MESIAL_SFG,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000028,0.543954,0.53337979,0.90164734,0.09835266,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000447,Area 6r1 (PreCG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6R1_PRECG,PARTIAL_OVERLAP,NGIQ-BR-00000056,0.182173,0.2914833,0.95865976,0.04134024,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000447,Area 6r1 (PreCG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6R1_PRECG,PARTIAL_OVERLAP,NGIQ-BR-00000078,0.22447,0.2914833,0.95865976,0.04134024,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000447,Area 6r1 (PreCG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6R1_PRECG,PARTIAL_OVERLAP,NGIQ-BR-00000080,0.397634,0.2914833,0.95865976,0.04134024,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
