candidate_id,source_entity_id,target_entity_id,mapping_relation,decision_fidelity_status,target_identity_status,hemisphere_status,coverage_status,method_status,lifecycle_status,provenance_status,review_result
G3G1-STAGE-30178C1C692B9E4738C5,NGIQ-BR-00000118,NGIQ-BR-00000304,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-61D3EC9BCDDCF02D2FD1,NGIQ-BR-00000119,NGIQ-BR-00000273,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-F905D5F53293A2401029,NGIQ-BR-00000120,NGIQ-BR-00000304,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-A9B5026D53132821F920,NGIQ-BR-00000121,NGIQ-BR-00000272,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-21803A43C877E2489BA4,NGIQ-BR-00000122,NGIQ-BR-00000303,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-E2A71900C76DB3133FFE,NGIQ-BR-00000123,NGIQ-BR-00000282,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-B3CA09F88D669666F994,NGIQ-BR-00000124,NGIQ-BR-00000313,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-1EDCA47F2EFC244B4684,NGIQ-BR-00000125,NGIQ-BR-00000282,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-9FA222BA152B11C2D0D7,NGIQ-BR-00000126,NGIQ-BR-00000313,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-9B52ACF9049C44DEADB3,NGIQ-BR-00000127,NGIQ-BR-00000272,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-C99CC3DD7CF32836881D,NGIQ-BR-00000128,NGIQ-BR-00000303,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-3868C417EDB8B371734C,NGIQ-BR-00000129,NGIQ-BR-00000272,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-1B48CF35112AF17979DA,NGIQ-BR-00000130,NGIQ-BR-00000303,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-730605B1B6C39959CAF9,NGIQ-BR-00000131,NGIQ-BR-00000282,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-B03C10CD2A2FB93EBD8C,NGIQ-BR-00000132,NGIQ-BR-00000313,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-2E0FD57E30C20728CD19,NGIQ-BR-00000009,NGIQ-BR-00000295,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-3746C1D3253F9AF6F5C0,NGIQ-BR-00000010,NGIQ-BR-00000326,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-EB008EAB68863595478D,NGIQ-BR-00000137,NGIQ-BR-00000295,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-1F993B907D653F331EF1,NGIQ-BR-00000138,NGIQ-BR-00000326,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-BB31B8126A70A4FF171F,NGIQ-BR-00000139,NGIQ-BR-00000295,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-BC3113D5F6E76507F9B6,NGIQ-BR-00000140,NGIQ-BR-00000326,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-0DDC67A01C7FFC6BB872,NGIQ-BR-00000141,NGIQ-BR-00000295,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-D44CCF5C0AFEE02CC416,NGIQ-BR-00000142,NGIQ-BR-00000326,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-6B3C1FE7CE0F8D2EEFC6,NGIQ-BR-00000143,NGIQ-BR-00000295,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-A2B1B5A1500388C0937C,NGIQ-BR-00000144,NGIQ-BR-00000326,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-57443C43D1D736DDBCF3,NGIQ-BR-00000011,NGIQ-BR-00000274,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-4B1ED625F4AC01A7D7C2,NGIQ-BR-00000012,NGIQ-BR-00000305,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-17CBF4B9CC91621A6656,NGIQ-BR-00000145,NGIQ-BR-00000274,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-7C051573B84E0A5B8EAF,NGIQ-BR-00000146,NGIQ-BR-00000305,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-6B6A2E1B37DCE6E4597D,NGIQ-BR-00000147,NGIQ-BR-00000297,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-7D26134755BC1E5863B0,NGIQ-BR-00000148,NGIQ-BR-00000328,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-8F7A8291AE8D20597984,NGIQ-BR-00000149,NGIQ-BR-00000297,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-2FA2390FFA93B6467174,NGIQ-BR-00000150,NGIQ-BR-00000328,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-37F84DF84C081C5D3363,NGIQ-BR-00000151,NGIQ-BR-00000274,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-040055C5544E8333A846,NGIQ-BR-00000152,NGIQ-BR-00000305,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-5987486949392A6E36B0,NGIQ-BR-00000153,NGIQ-BR-00000297,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-33FC30B8FBEFBC65286E,NGIQ-BR-00000154,NGIQ-BR-00000328,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-F011BC19F8F4228C5678,NGIQ-BR-00000155,NGIQ-BR-00000291,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
