component_index,parcel_id,lut_name,official_hemisphere_code,hemisphere,canonical_g3_id,canonical_name,asset_file,asset_sha256,alignment_method,alignment_status
80,80,A22r_R,STG_R_6_6,right,NGIQ-BR-00000094,STG_R_6_6,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
81,81,A21c_L,MTG_L_4_1,left,NGIQ-BR-00000007,MTG_L_4_1,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
82,82,A21c_R,MTG_R_4_1,right,NGIQ-BR-00000008,MTG_R_4_1,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
83,83,A21r_L,MTG_L_4_2,left,NGIQ-BR-00000095,MTG_L_4_2,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
84,84,A21r_R,MTG_R_4_2,right,NGIQ-BR-00000096,MTG_R_4_2,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
85,85,A37dl_L,MTG_L_4_3,left,NGIQ-BR-00000097,MTG_L_4_3,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
86,86,A37dl_R,MTG_R_4_3,right,NGIQ-BR-00000098,MTG_R_4_3,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
87,87,aSTS_L,MTG_L_4_4,left,NGIQ-BR-00000099,MTG_L_4_4,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
88,88,aSTS_R,MTG_R_4_4,right,NGIQ-BR-00000100,MTG_R_4_4,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
89,89,A20iv_L,ITG_L_7_1,left,NGIQ-BR-00000101,ITG_L_7_1,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
90,90,A20iv_R,ITG_R_7_1,right,NGIQ-BR-00000102,ITG_R_7_1,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
91,91,A37elv_L,ITG_L_7_2,left,NGIQ-BR-00000103,ITG_L_7_2,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
