hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,left_right_pair_id,current_authority_decision,top1_dk_label,top1_dk_source_coverage,top2_dk_label,top2_dk_source_coverage,top1_minus_top2_margin,top1_g1_name,top1_g1_coverage,non_g1_dk_coverage_ratio,unlabeled_ratio
right,NGIQ-BR-00000122,110,PhG_R_6_1,rostral area 35/36,PhG,PhG_6_1,PENDING_HUMAN_REVIEW,entorhinal,0.903571,fusiform,0.096429,0.807143,Right Entorhinal Cortex,0.903571,0,0.0
right,NGIQ-BR-00000124,112,PhG_R_6_2,caudal area 35/36,PhG,PhG_6_2,PENDING_HUMAN_REVIEW,parahippocampal,0.951482,entorhinal,0.040431,0.911051,Right Parahippocampal Gyrus,0.951482,0,0.0
right,NGIQ-BR-00000126,114,PhG_R_6_3,"area TL (lateral PPHC, posterior parahippocampal gyrus)",PhG,PhG_6_3,PENDING_HUMAN_REVIEW,parahippocampal,0.836466,fusiform,0.163534,0.672932,Right Parahippocampal Gyrus,0.836466,0,0.0
right,NGIQ-BR-00000128,116,PhG_R_6_4,"area 28/34 (EC, entorhinal cortex)",PhG,PhG_6_4,PENDING_HUMAN_REVIEW,entorhinal,0.693798,parahippocampal,0.306202,0.387597,Right Entorhinal Cortex,0.693798,0,0.0
right,NGIQ-BR-00000130,118,PhG_R_6_5,area TI(temporal agranular insular cortex),PhG,PhG_6_5,PENDING_HUMAN_REVIEW,entorhinal,0.977654,temporalpole,0.022346,0.977654,Right Entorhinal Cortex,0.977654,0.022346,0.0
right,NGIQ-BR-00000132,120,PhG_R_6_6,area TH (medial PPHC),PhG,PhG_6_6,PENDING_HUMAN_REVIEW,parahippocampal,0.995833,lingual,0.004167,0.991667,Right Parahippocampal Gyrus,0.995833,0,0.0
right,NGIQ-BR-00000012,136,IPL_R_6_1,caudal area 39(PGp),IPL,IPL_6_1,PENDING_HUMAN_REVIEW,inferiorparietal,0.98316,middletemporal,0.014435,0.968725,Right Inferior Parietal Lobule,0.98316,0,0.0
right,NGIQ-BR-00000146,138,IPL_R_6_2,rostrodorsal area 39(Hip3),IPL,IPL_6_2,PENDING_HUMAN_REVIEW,inferiorparietal,0.927823,superiorparietal,0.072177,0.855647,Right Inferior Parietal Lobule,0.927823,0,0.0
right,NGIQ-BR-00000148,140,IPL_R_6_3,rostrodorsal area 40(PFt),IPL,IPL_6_3,PENDING_HUMAN_REVIEW,supramarginal,0.794611,inferiorparietal,0.178442,0.616168,Right Supramarginal Gyrus,0.794611,0,0.0
right,NGIQ-BR-00000150,142,IPL_R_6_4,caudal area 40(PFm),IPL,IPL_6_4,PENDING_HUMAN_REVIEW,supramarginal,0.695634,inferiorparietal,0.299279,0.396354,Right Supramarginal Gyrus,0.695634,0,0.0
