hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,seed_type,cohort,current_authority_decision,g3_vertex_count,dk_unlabeled_vertex_count,dk_unlabeled_ratio,top1_dk_label,top1_dk_source_coverage,top2_dk_label,top2_dk_source_coverage,top3_dk_label,top3_dk_source_coverage,top1_minus_top2_margin,top1_g1_entity_id,top1_g1_name,top1_g1_coverage,non_g1_dk_coverage_ratio,unlabeled_ratio,number_of_overlapping_dk_regions,coverage_sum_error
left,NGIQ-BR-00000107,95,ITG_L_7_4,intermediate lateral area 20,ITG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,575,0,0.0,inferiortemporal,0.796522,middletemporal,0.203478,,0,0.593043,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.796522,0,0.0,2,0.0
left,NGIQ-BR-00000109,97,ITG_L_7_5,ventrolateral area 37,ITG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,776,0,0.0,inferiortemporal,0.78866,middletemporal,0.21134,,0,0.57732,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.78866,0,0.0,2,0.0
left,NGIQ-BR-00000111,99,ITG_L_7_6,caudolateral of area 20,ITG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,631,0,0.0,inferiortemporal,0.754358,middletemporal,0.245642,,0,0.508716,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,0.754358,0,0.0,2,0.0
left,NGIQ-BR-00000113,101,ITG_L_7_7,caudoventral of area 20,ITG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,875,0,0.0,inferiortemporal,1.0,,0,,0,1.0,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,1.0,0,0.0,1,0.0
left,NGIQ-BR-00000115,103,FuG_L_3_1,rostroventral area 20,FuG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1855,0,0.0,fusiform,0.919677,parahippocampal,0.026415,entorhinal,0.025337,0.893261,NGIQ-BR-00000273,Left Fusiform Gyrus,0.919677,0.002695,0.0,6,0.0
left,NGIQ-BR-00000117,105,FuG_L_3_2,medioventral area 37,FuG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1649,0,0.0,fusiform,0.948454,lateraloccipital,0.039418,lingual,0.012129,0.909036,NGIQ-BR-00000273,Left Fusiform Gyrus,0.948454,0,0.0,3,0.0
left,NGIQ-BR-00000119,107,FuG_L_3_3,lateroventral area 37,FuG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1718,0,0.0,fusiform,0.759022,inferiortemporal,0.240978,,0,0.518044,NGIQ-BR-00000273,Left Fusiform Gyrus,0.759022,0,0.0,2,0.0
left,NGIQ-BR-00000121,109,PhG_L_6_1,rostral area 35/36,PhG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,396,0,0.0,entorhinal,0.974747,fusiform,0.025253,,0,0.949495,NGIQ-BR-00000272,Left Entorhinal Cortex,0.974747,0,0.0,2,0.0
left,NGIQ-BR-00000123,111,PhG_L_6_2,caudal area 35/36,PhG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,376,0,0.0,parahippocampal,0.928191,entorhinal,0.071809,,0,0.856383,NGIQ-BR-00000282,Left Parahippocampal Gyrus,0.928191,0,0.0,2,0.0
left,NGIQ-BR-00000125,113,PhG_L_6_3,"area TL (lateral PPHC, posterior parahippocampal gyrus)",PhG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,623,0,0.0,parahippocampal,0.979133,fusiform,0.020867,,0,0.958266,NGIQ-BR-00000282,Left Parahippocampal Gyrus,0.979133,0,0.0,2,0.0
left,NGIQ-BR-00000127,115,PhG_L_6_4,"area 28/34 (EC, entorhinal cortex)",PhG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,369,0,0.0,entorhinal,0.607046,parahippocampal,0.392954,,0,0.214092,NGIQ-BR-00000272,Left Entorhinal Cortex,0.607046,0,0.0,2,0.0
left,NGIQ-BR-00000129,117,PhG_L_6_5,area TI(temporal agranular insular cortex),PhG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,96,0,0.0,entorhinal,0.833333,temporalpole,0.114583,insula,0.052083,0.78125,NGIQ-BR-00000272,Left Entorhinal Cortex,0.833333,0.114583,0.0,3,0.0
left,NGIQ-BR-00000131,119,PhG_L_6_6,area TH (medial PPHC),PhG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,425,0,0.0,parahippocampal,0.896471,lingual,0.077647,isthmuscingulate,0.025882,0.818824,NGIQ-BR-00000282,Left Parahippocampal Gyrus,0.896471,0,0.0,3,0.0
left,NGIQ-BR-00000133,121,pSTS_L_2_1,rostroposterior superior temporal sulcus,Psts,single,SEED_TARGET_NOT_IN_G1,NO_G1_ROLLUP,1085,0,0.0,bankssts,0.964977,middletemporal,0.026728,superiortemporal,0.008295,0.018433,NGIQ-BR-00000281,Left Middle Temporal Gyrus,0.026728,0.964977,0.0,3,0.0
left,NGIQ-BR-00000135,123,pSTS_L_2_2,caudoposterior superior temporal sulcus,Psts,single,SEED_TARGET_NOT_IN_G1,NO_G1_ROLLUP,1146,0,0.0,bankssts,0.842059,inferiorparietal,0.066318,supramarginal,0.044503,0.021815,NGIQ-BR-00000274,Left Inferior Parietal Lobule,0.066318,0.842059,0.0,5,0.0
left,NGIQ-BR-00000009,125,SPL_L_5_1,rostral area 7,SPL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,840,0,0.0,superiorparietal,1.0,,0,,0,1.0,NGIQ-BR-00000295,Left Superior Parietal Lobule,1.0,0,0.0,1,0.0
left,NGIQ-BR-00000137,127,SPL_L_5_2,caudal area 7,SPL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1488,0,0.0,superiorparietal,0.950941,precuneus,0.049059,,0,0.901882,NGIQ-BR-00000295,Left Superior Parietal Lobule,0.950941,0,0.0,2,0.0
left,NGIQ-BR-00000139,129,SPL_L_5_3,lateral area 5,SPL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1959,0,0.0,superiorparietal,0.985197,supramarginal,0.010209,inferiorparietal,0.004594,0.974987,NGIQ-BR-00000295,Left Superior Parietal Lobule,0.985197,0,0.0,3,0.0
left,NGIQ-BR-00000141,131,SPL_L_5_4,postcentral area 7,SPL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1621,0,0.0,superiorparietal,0.988279,postcentral,0.011721,,0,0.976558,NGIQ-BR-00000295,Left Superior Parietal Lobule,0.988279,0,0.0,2,0.0
left,NGIQ-BR-00000143,133,SPL_L_5_5,intraparietal area 7(hIP3),SPL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1254,0,0.0,superiorparietal,1.0,,0,,0,1.0,NGIQ-BR-00000295,Left Superior Parietal Lobule,1.0,0,0.0,1,0.0
left,NGIQ-BR-00000011,135,IPL_L_6_1,caudal area 39(PGp),IPL,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1999,0,0.0,inferiorparietal,0.969985,superiorparietal,0.025013,lateraloccipital,0.005003,0.944972,NGIQ-BR-00000274,Left Inferior Parietal Lobule,0.969985,0,0.0,3,0.0
left,NGIQ-BR-00000145,137,IPL_L_6_2,rostrodorsal area 39(Hip3),IPL,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,2455,0,0.0,inferiorparietal,0.794705,supramarginal,0.112016,superiorparietal,0.093279,0.682688,NGIQ-BR-00000274,Left Inferior Parietal Lobule,0.794705,0,0.0,3,0.0
left,NGIQ-BR-00000147,139,IPL_L_6_3,rostrodorsal area 40(PFt),IPL,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,2848,0,0.0,supramarginal,0.974017,postcentral,0.022121,superiorparietal,0.003862,0.951896,NGIQ-BR-00000297,Left Supramarginal Gyrus,0.974017,0,0.0,3,0.0
left,NGIQ-BR-00000149,141,IPL_L_6_4,caudal area 40(PFm),IPL,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,2855,0,0.0,supramarginal,0.82732,inferiorparietal,0.154466,superiortemporal,0.018214,0.672855,NGIQ-BR-00000297,Left Supramarginal Gyrus,0.82732,0,0.0,3,0.0
left,NGIQ-BR-00000151,143,IPL_L_6_5,rostroventral area 39(PGa),IPL,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,3484,0,0.0,inferiorparietal,0.901837,supramarginal,0.085247,middletemporal,0.007176,0.81659,NGIQ-BR-00000274,Left Inferior Parietal Lobule,0.901837,0.004592,0.0,5,0.0
left,NGIQ-BR-00000153,145,IPL_L_6_6,rostroventral area 40(PFop),IPL,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,2767,0,0.0,supramarginal,0.970365,superiortemporal,0.018432,insula,0.010481,0.951934,NGIQ-BR-00000297,Left Supramarginal Gyrus,0.970365,0,0.0,4,0.0
left,NGIQ-BR-00000155,147,PCun_L_4_1,medial area 7(PEp),Pcun,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1258,0,0.0,precuneus,0.9062,superiorparietal,0.0938,,0,0.812401,NGIQ-BR-00000291,Left Precuneus,0.9062,0,0.0,2,0.0
left,NGIQ-BR-00000157,149,PCun_L_4_2,medial area 5(PEm),Pcun,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1793,0,0.0,precuneus,0.903514,superiorparietal,0.048522,paracentral,0.047964,0.854992,NGIQ-BR-00000291,Left Precuneus,0.903514,0,0.0,3,0.0
