column_index,component_index,parcel_id,canonical_g3_id,g3_region_name,g3_hemisphere,output_asset
123,123,123,NGIQ-BR-00000135,pSTS_L_2_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp123_pSTS_L_2_2_prob_2009c.nii.gz
124,124,124,NGIQ-BR-00000136,pSTS_R_2_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp124_pSTS_R_2_2_prob_2009c.nii.gz
125,125,125,NGIQ-BR-00000009,SPL_L_5_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp125_SPL_L_5_1_prob_2009c.nii.gz
126,126,126,NGIQ-BR-00000010,SPL_R_5_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp126_SPL_R_5_1_prob_2009c.nii.gz
127,127,127,NGIQ-BR-00000137,SPL_L_5_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp127_SPL_L_5_2_prob_2009c.nii.gz
128,128,128,NGIQ-BR-00000138,SPL_R_5_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp128_SPL_R_5_2_prob_2009c.nii.gz
129,129,129,NGIQ-BR-00000139,SPL_L_5_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp129_SPL_L_5_3_prob_2009c.nii.gz
130,130,130,NGIQ-BR-00000140,SPL_R_5_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp130_SPL_R_5_3_prob_2009c.nii.gz
131,131,131,NGIQ-BR-00000141,SPL_L_5_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp131_SPL_L_5_4_prob_2009c.nii.gz
132,132,132,NGIQ-BR-00000142,SPL_R_5_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp132_SPL_R_5_4_prob_2009c.nii.gz
133,133,133,NGIQ-BR-00000143,SPL_L_5_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp133_SPL_L_5_5_prob_2009c.nii.gz
134,134,134,NGIQ-BR-00000144,SPL_R_5_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp134_SPL_R_5_5_prob_2009c.nii.gz
135,135,135,NGIQ-BR-00000011,IPL_L_6_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp135_IPL_L_6_1_prob_2009c.nii.gz
136,136,136,NGIQ-BR-00000012,IPL_R_6_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp136_IPL_R_6_1_prob_2009c.nii.gz
137,137,137,NGIQ-BR-00000145,IPL_L_6_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp137_IPL_L_6_2_prob_2009c.nii.gz
138,138,138,NGIQ-BR-00000146,IPL_R_6_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp138_IPL_R_6_2_prob_2009c.nii.gz
139,139,139,NGIQ-BR-00000147,IPL_L_6_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp139_IPL_L_6_3_prob_2009c.nii.gz
