canonical_g4_id,canonical_g4_name,hemisphere,decision_2ia,reason_code_2ia,revised_owner_stratum,top_target_g3,hard_top1_coverage,review_status
NGIQ-BR-00000351,CM.Ce (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000215,0.22233381,PENDING_OWNER_REVIEW
NGIQ-BR-00000352,CM.Me (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000215,0.22233381,PENDING_OWNER_REVIEW
NGIQ-BR-00000353,LB.Bl (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000218,0.40810337,PENDING_OWNER_REVIEW
NGIQ-BR-00000354,LB.Bm (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000218,0.40810337,PENDING_OWNER_REVIEW
NGIQ-BR-00000355,LB.Pl (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000218,0.40810337,PENDING_OWNER_REVIEW
NGIQ-BR-00000356,LB.La (Amygdala) right,right,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000218,0.40810337,PENDING_OWNER_REVIEW
NGIQ-BR-00000357,LB.Bl (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000017,0.32168084,PENDING_OWNER_REVIEW
NGIQ-BR-00000358,LB.Bm (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000017,0.32168084,PENDING_OWNER_REVIEW
NGIQ-BR-00000359,LB.Pl (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000017,0.32168084,PENDING_OWNER_REVIEW
NGIQ-BR-00000360,LB.La (Amygdala) left,left,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,UNCHANGED_2IA_SHARED_SPATIAL_EVIDENCE_ONLY,NGIQ-BR-00000017,0.32168084,PENDING_OWNER_REVIEW
